Italy , Death rates (period 1x10), 	Last modified: 11 Apr 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1910-1919      103             0.662763        0.913460        0.723286
1910-1919      104             0.762099        1.437108        0.881173
1910-1919      105             0.986650        4.085106        1.141977
1910-1919      106             1.634981              .        1.634981
1910-1919      107             3.145374              .        3.145374
1910-1919      108                   .              .              .
1910-1919      109                   .              .              .
1910-1919      110+                  .              .              .
1920-1929        0             0.128318        0.144380        0.136527
1920-1929        1             0.049763        0.050542        0.050160
1920-1929        2             0.019331        0.019812        0.019576
1920-1929        3             0.010831        0.010891        0.010862
1920-1929        4             0.007563        0.007457        0.007509
1920-1929        5             0.005460        0.005345        0.005401
1920-1929        6             0.004324        0.004304        0.004313
1920-1929        7             0.003499        0.003426        0.003462
1920-1929        8             0.002883        0.002970        0.002927
1920-1929        9             0.002658        0.002673        0.002665
1920-1929       10             0.002503        0.002530        0.002516
1920-1929       11             0.002323        0.002323        0.002323
1920-1929       12             0.002401        0.002299        0.002349
1920-1929       13             0.002572        0.002247        0.002408
1920-1929       14             0.003129        0.002486        0.002804
1920-1929       15             0.003586        0.002805        0.003191
1920-1929       16             0.003982        0.003274        0.003625
1920-1929       17             0.004332        0.003831        0.004080
1920-1929       18             0.004737        0.004581        0.004659
1920-1929       19             0.004984        0.005112        0.005048
1920-1929       20             0.005273        0.005835        0.005553
1920-1929       21             0.005383        0.005796        0.005587
1920-1929       22             0.005669        0.005730        0.005699
1920-1929       23             0.005734        0.005706        0.005720
1920-1929       24             0.005740        0.005564        0.005655
1920-1929       25             0.005715        0.005485        0.005604
1920-1929       26             0.005748        0.005416        0.005590
1920-1929       27             0.005752        0.005359        0.005567
1920-1929       28             0.005764        0.005467        0.005625
1920-1929       29             0.005683        0.005407        0.005554
1920-1929       30             0.005915        0.005685        0.005808
1920-1929       31             0.005719        0.005516        0.005625
1920-1929       32             0.005895        0.005652        0.005783
1920-1929       33             0.005885        0.005854        0.005871
1920-1929       34             0.005952        0.005836        0.005899
1920-1929       35             0.006049        0.006026        0.006038
1920-1929       36             0.006178        0.006141        0.006161
1920-1929       37             0.006145        0.006141        0.006143
1920-1929       38             0.006416        0.006550        0.006478
1920-1929       39             0.006360        0.006693        0.006516
1920-1929       40             0.006846        0.007097        0.006964
1920-1929       41             0.006502        0.007095        0.006782
1920-1929       42             0.006945        0.007617        0.007265
