Spain, Death rates (period 1x10), 	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1940-1949       31             0.003167        0.005767        0.004378
1940-1949       32             0.004367        0.007288        0.005739
1940-1949       33             0.004297        0.007260        0.005696
1940-1949       34             0.004154        0.006837        0.005426
1940-1949       35             0.004625        0.007334        0.005913
1940-1949       36             0.004585        0.007350        0.005904
1940-1949       37             0.004380        0.006962        0.005615
1940-1949       38             0.005135        0.007786        0.006408
1940-1949       39             0.004217        0.007115        0.005604
1940-1949       40             0.006296        0.009538        0.007838
1940-1949       41             0.003819        0.006982        0.005323
1940-1949       42             0.005664        0.009852        0.007655
1940-1949       43             0.004930        0.008746        0.006743
1940-1949       44             0.005400        0.009554        0.007373
1940-1949       45             0.006783        0.011780        0.009156
1940-1949       46             0.006071        0.010917        0.008371
1940-1949       47             0.006118        0.011130        0.008488
1940-1949       48             0.007475        0.013062        0.010105
1940-1949       49             0.006443        0.012150        0.009123
1940-1949       50             0.010316        0.017074        0.013489
1940-1949       51             0.006048        0.012148        0.008919
1940-1949       52             0.009514        0.017096        0.013089
1940-1949       53             0.008542        0.016269        0.012181
1940-1949       54             0.010174        0.017974        0.013833
1940-1949       55             0.011405        0.020231        0.015526
1940-1949       56             0.012446        0.021545        0.016674
1940-1949       57             0.011141        0.020548        0.015493
1940-1949       58             0.014936        0.025338        0.019733
1940-1949       59             0.012577        0.023761        0.017706
1940-1949       60             0.022776        0.034499        0.028100
1940-1949       61             0.013082        0.023255        0.017672
1940-1949       62             0.020683        0.033922        0.026627
1940-1949       63             0.020517        0.035038        0.027011
1940-1949       64             0.023547        0.038173        0.030046
1940-1949       65             0.032103        0.047493        0.038899
1940-1949       66             0.029262        0.044191        0.035826
1940-1949       67             0.031040        0.047570        0.038263
1940-1949       68             0.036905        0.052375        0.043613
1940-1949       69             0.030374        0.046616        0.037357
1940-1949       70             0.061466        0.074437        0.066994
1940-1949       71             0.034703        0.051357        0.041772
1940-1949       72             0.058781        0.080558        0.067970
1940-1949       73             0.055458        0.080254        0.065864
1940-1949       74             0.066400        0.090443        0.076450
1940-1949       75             0.084416        0.110398        0.095218
1940-1949       76             0.083869        0.110196        0.094744
1940-1949       77             0.084489        0.118576        0.098424
1940-1949       78             0.116377        0.153284        0.131218
1940-1949       79             0.084919        0.118074        0.097993
1940-1949       80             0.157321        0.177010        0.164750
1940-1949       81             0.083414        0.115520        0.095367
1940-1949       82             0.135114        0.178024        0.150737
1940-1949       83             0.123543        0.166608        0.138778
1940-1949       84             0.169483        0.223797        0.188061
1940-1949       85             0.185863        0.232474        0.201213
1940-1949       86             0.192171        0.242072        0.208010
1940-1949       87             0.188580        0.245055        0.205803
1940-1949       88             0.221678        0.291440        0.241993
1940-1949       89             0.195179        0.272489        0.216465
1940-1949       90             0.315915        0.345340        0.323664
1940-1949       91             0.157305        0.205761        0.169700
1940-1949       92             0.245179        0.308793        0.260794
1940-1949       93             0.232909        0.309210        0.250664
